                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.82713,                0.96733,                 1.2514,                0.50595,                0.44278,                0.45748,                0.26637,                 1.6624,                 2.0159,                 2.0677,             0.00052606,             0.00052606,             0.00052606
                    119,                0.80347,                0.94949,                 1.2361,                0.57578,                0.37794,                0.42227,                0.23225,                 1.7102,                 2.1041,                 2.0894,             0.00051988,             0.00051988,             0.00051988
                    120,                0.81462,                0.92449,                 1.2131,                0.52887,                0.43328,                0.44111,                0.26533,                 1.6616,                 2.3476,                 2.0166,             0.00051369,             0.00051369,             0.00051369
                    121,                0.80032,                0.92878,                 1.2293,                 0.5077,                0.42882,                0.43436,                0.26415,                 1.6066,                 2.3558,                 1.9814,              0.0005075,              0.0005075,              0.0005075
                    122,                0.80267,                0.92558,                 1.2301,                0.45765,                0.45613,                 0.4166,                0.26147,                 1.5944,                 2.3896,                  1.975,             0.00050131,             0.00050131,             0.00050131
                    123,                0.78688,                0.92702,                 1.2249,                 0.6123,                0.38606,                0.44111,                0.28936,                 1.5631,                 2.1368,                 1.9224,             0.00049513,             0.00049513,             0.00049513
                    124,                 0.7857,                0.91142,                 1.2273,                0.44752,                0.42762,                0.41377,                0.26003,                 1.6493,                 2.2975,                 2.0258,             0.00048894,             0.00048894,             0.00048894
                    125,                0.80128,                0.94583,                 1.2272,                0.47907,                0.46741,                0.42862,                0.26232,                 1.5664,                 2.1633,                  1.921,             0.00048275,             0.00048275,             0.00048275
                    126,                0.76111,                0.87019,                 1.1981,                0.60118,                0.38766,                0.41467,                0.25427,                 1.6521,                 2.3655,                 2.0487,             0.00047656,             0.00047656,             0.00047656
                    127,                0.77022,                0.88045,                  1.196,                0.55227,                 0.4184,                 0.4414,                0.27759,                 1.5792,                 2.1452,                 1.9732,             0.00047038,             0.00047038,             0.00047038
                    128,                0.78463,                0.89622,                 1.2205,                0.51376,                0.42228,                 0.4277,                0.26883,                 1.6003,                 2.2815,                 1.9875,             0.00046419,             0.00046419,             0.00046419
                    129,                0.76448,                0.86395,                 1.1927,                0.40008,                0.41389,                0.39558,                0.25831,                 1.6025,                 2.4198,                  2.019,               0.000458,               0.000458,               0.000458
                    130,                0.74783,                0.87701,                 1.1985,                0.46088,                0.39211,                 0.4006,                0.24069,                  1.558,                  2.235,                 1.9782,             0.00045181,             0.00045181,             0.00045181
                    131,                0.76142,                0.86936,                 1.2071,                0.52021,                0.39849,                0.41425,                0.25096,                 1.6014,                 2.1744,                 2.0131,             0.00044563,             0.00044563,             0.00044563
                    132,                0.74553,                0.85328,                 1.1848,                0.57112,                0.42829,                 0.4386,                0.26642,                  1.599,                 2.2819,                 1.9981,             0.00043944,             0.00043944,             0.00043944
                    133,                0.75129,                 0.8429,                 1.2038,                0.56833,                0.41617,                0.42899,                0.26342,                 1.6656,                 2.3962,                 2.0547,             0.00043325,             0.00043325,             0.00043325
                    134,                0.75254,                0.87258,                 1.2156,                 0.5391,                0.35577,                0.41964,                 0.2442,                 1.6894,                 2.2326,                 2.0831,             0.00042706,             0.00042706,             0.00042706
                    135,                0.73236,                0.83165,                 1.1716,                0.55892,                0.44357,                 0.4411,                0.26563,                 1.6369,                 2.2737,                 2.0369,             0.00042087,             0.00042087,             0.00042087
                    136,                0.73868,                0.87145,                 1.1985,                0.56043,                0.43243,                0.42184,                0.24497,                 1.6563,                 2.3161,                 2.0287,             0.00041469,             0.00041469,             0.00041469
                    137,                0.71269,                 0.8154,                 1.1705,                0.54415,                0.43271,                0.44071,                0.25425,                 1.6104,                 2.1643,                  1.975,              0.0004085,              0.0004085,              0.0004085
                    138,                0.70068,                0.79408,                 1.1678,                0.49823,                 0.4628,                0.44104,                0.27556,                 1.5571,                  2.126,                  1.945,             0.00040231,             0.00040231,             0.00040231
                    139,                0.72951,                0.79869,                 1.1619,                0.49736,                0.44311,                0.44254,                0.27362,                 1.5998,                 2.1964,                 1.9951,             0.00039613,             0.00039613,             0.00039613
                    140,                0.71424,                0.81386,                 1.1709,                 0.5117,                0.42271,                0.44094,                0.27738,                 1.6387,                 2.3095,                 2.0527,             0.00038994,             0.00038994,             0.00038994
                    141,                0.71511,                0.80165,                 1.1881,                 0.4997,                0.45943,                0.44506,                0.28166,                 1.6235,                 2.1667,                 2.0575,             0.00038375,             0.00038375,             0.00038375
